dip,dip_dir,strike
"18","178","88"
"18","176","86"
"19","184","94"
"21","167","77"
"16","171","81"
"17","180","90"
"20","173","83"
"20","177","87"
"12","180","90"
"13","179","89"
"10","173","83"
"11","169","79"
"20","172","82"
"19","165","75"
"26","158","68"
"20","183","93"
"19","185","95"
"17","168","78"
"27","170","80"
"18","173","83"
"10","178","88"
"12","189","99"
"13","190","100"
"14","191","101"
"17","176","86"
"22","174","84"
"26","174","84"
"12","177","87"
"20","171","81"
"35","170","80"
"26","173","83"
"20","181","91"
"25","178","88"
"19","180","90"
"26","174","84"
"24","165","75"
"24","172","82"
"17","165","75"
"25","164","74"
"19","164","74"
"21","170","80"
